,a,b
afrimmlu_amh_468,0.7055731,1.0943229
afrimmlu_amh_469,0.7669072,-0.31470987
afrimmlu_amh_47,0.7588654,0.18015368
afrimmlu_amh_470,0.78467363,-0.8360492
afrimmlu_amh_471,0.78467363,-0.8360492
afrimmlu_amh_472,0.7669072,-0.31470987
afrimmlu_amh_473,0.7669072,-0.31470987
afrimmlu_amh_474,0.7283728,-0.32004657
afrimmlu_amh_475,0.7404723,0.17231084
afrimmlu_amh_476,0.7404723,0.17231084
afrimmlu_amh_477,0.569069,0.93756896
afrimmlu_amh_478,0.7283728,-0.32004657
afrimmlu_amh_479,0.78467363,-0.8360492
afrimmlu_amh_48,0.78467363,-0.8360492
afrimmlu_amh_480,0.78467363,-0.8360492
afrimmlu_amh_481,0.78467363,-0.8360492
afrimmlu_amh_482,0.78467363,-0.8360492
afrimmlu_amh_483,0.7669072,-0.31470987
afrimmlu_amh_484,0.6009996,0.10867074
afrimmlu_amh_485,0.78048235,0.67955106
afrimmlu_amh_486,0.78467363,-0.8360492
afrimmlu_amh_487,0.7669072,-0.31470987
afrimmlu_amh_488,0.7283728,-0.32004657
afrimmlu_amh_489,0.78467363,-0.8360492
afrimmlu_amh_49,0.7588654,0.18015368
afrimmlu_amh_490,0.78467363,-0.8360492
afrimmlu_amh_491,0.7283728,-0.32004657
afrimmlu_amh_492,0.7669072,-0.31470987
afrimmlu_amh_493,0.7283728,-0.32004657
afrimmlu_amh_494,0.78467363,-0.8360492
afrimmlu_amh_495,0.7669072,-0.31470987
afrimmlu_amh_496,0.78467363,-0.8360492
afrimmlu_amh_497,0.7119467,-0.32218784
afrimmlu_amh_498,0.7283728,-0.32004657
afrimmlu_amh_499,0.7404723,0.17231084
afrimmlu_amh_5,0.7283728,-0.32004657
afrimmlu_amh_50,0.68626213,1.0742759
afrimmlu_amh_51,0.7283728,-0.32004657
afrimmlu_amh_52,0.7669072,-0.31470987
afrimmlu_amh_53,0.78467363,-0.8360492
afrimmlu_amh_54,0.78467363,-0.8360492
afrimmlu_amh_55,0.78467363,-0.8360492
afrimmlu_amh_56,0.7669072,-0.31470987
afrimmlu_amh_57,0.62768817,0.121291265
afrimmlu_amh_58,0.70331436,0.15601648
afrimmlu_amh_59,0.78467363,-0.8360492
afrimmlu_amh_6,0.78467363,-0.8360492
afrimmlu_amh_60,0.7588654,0.18015368
afrimmlu_amh_61,0.78467363,-0.8360492
afrimmlu_amh_62,0.78467363,-0.8360492
afrimmlu_amh_63,0.7283728,-0.32004657
afrimmlu_amh_64,0.78048235,0.67955106
afrimmlu_amh_65,0.78467363,-0.8360492
afrimmlu_amh_66,0.7404723,0.17231084
afrimmlu_amh_67,0.7119467,-0.32218784
afrimmlu_amh_68,0.78467363,-0.8360492
afrimmlu_amh_69,0.569069,0.93756896
afrimmlu_amh_7,0.78467363,-0.8360492
afrimmlu_amh_70,0.7404723,0.17231084
afrimmlu_amh_71,0.7404723,0.17231084
afrimmlu_amh_72,0.7283728,-0.32004657
afrimmlu_amh_73,0.78467363,-0.8360492
afrimmlu_amh_74,0.7588654,0.18015368
afrimmlu_amh_75,0.7055731,1.0943229
afrimmlu_amh_76,0.7119467,-0.32218784
afrimmlu_amh_77,0.7669072,-0.31470987
afrimmlu_amh_78,0.7588654,0.18015368
afrimmlu_amh_79,0.78467363,-0.8360492
afrimmlu_amh_8,0.78467363,-0.8360492
afrimmlu_amh_80,0.78467363,-0.8360492
afrimmlu_amh_81,0.7588654,0.18015368
afrimmlu_amh_82,0.78467363,-0.8360492
afrimmlu_amh_83,0.70331436,0.15601648
afrimmlu_amh_84,0.51898295,0.4712788
afrimmlu_amh_85,0.6101059,-0.33277762
afrimmlu_amh_86,0.7119467,-0.32218784
afrimmlu_amh_87,0.545274,0.90647614
afrimmlu_amh_88,0.7119467,-0.32218784
afrimmlu_amh_89,0.7055731,1.0943229
afrimmlu_amh_9,0.78467363,-0.8360492
afrimmlu_amh_90,0.7283728,-0.32004657
afrimmlu_amh_91,0.65846074,1.4965177
afrimmlu_amh_92,0.78467363,-0.8360492
