,a,b
sib_eng_55,0.78793126,-0.41532964
sib_eng_56,0.78793126,-0.41532964
sib_eng_57,0.59545404,0.9141437
sib_eng_58,0.78793126,-0.41532964
sib_eng_59,0.78793126,-0.41532964
sib_eng_6,0.78793126,-0.41532964
sib_eng_60,0.78793126,-0.41532964
sib_eng_61,0.78793126,-0.41532964
sib_eng_62,0.6303697,0.97473395
sib_eng_63,0.7096046,0.10541948
sib_eng_64,0.78793126,-0.41532964
sib_eng_65,0.7096046,0.10541948
sib_eng_66,0.7096046,0.10541948
sib_eng_67,0.78793126,-0.41532964
sib_eng_68,0.78793126,-0.41532964
sib_eng_69,0.78793126,-0.41532964
sib_eng_7,0.6250029,0.50746787
sib_eng_70,0.78793126,-0.41532964
sib_eng_71,0.6303697,0.97473395
sib_eng_72,0.7096046,0.10541948
sib_eng_73,0.706751,0.10293185
sib_eng_74,0.56108177,1.6892787
sib_eng_75,0.56108177,1.6892787
sib_eng_76,0.78793126,-0.41532964
sib_eng_77,0.78793126,-0.41532964
sib_eng_78,0.6566825,0.059603743
sib_eng_79,0.78793126,-0.41532964
sib_eng_8,0.78793126,-0.41532964
sib_eng_80,0.7096046,0.10541948
sib_eng_81,0.5848147,1.3261219
sib_eng_82,0.7096046,0.10541948
sib_eng_83,0.78793126,-0.41532964
sib_eng_84,0.78793126,-0.41532964
sib_eng_85,0.7096046,0.10541948
sib_eng_86,0.78793126,-0.41532964
sib_eng_87,0.78793126,-0.41532964
sib_eng_88,0.78793126,-0.41532964
sib_eng_89,0.78793126,-0.41532964
sib_eng_9,0.78793126,-0.41532964
sib_eng_90,0.78793126,-0.41532964
sib_eng_91,0.78793126,-0.41532964
sib_eng_92,0.5848147,1.3261219
sib_eng_93,0.78793126,-0.41532964
sib_eng_94,0.78793126,-0.41532964
sib_eng_95,0.78793126,-0.41532964
sib_eng_96,0.78793126,-0.41532964
sib_eng_97,0.78793126,-0.41532964
sib_eng_98,0.78793126,-0.41532964
sib_eng_99,0.6320151,0.03857096
sib_hau_0,0.78793126,-0.41532964
sib_hau_1,0.78793126,-0.41532964
sib_hau_10,0.78793126,-0.41532964
sib_hau_100,0.78793126,-0.41532964
sib_hau_101,0.78793126,-0.41532964
sib_hau_102,0.78793126,-0.41532964
sib_hau_103,0.78793126,-0.41532964
sib_hau_104,0.78793126,-0.41532964
sib_hau_105,0.78793126,-0.41532964
sib_hau_106,0.78793126,-0.41532964
sib_hau_107,0.78793126,-0.41532964
sib_hau_108,0.78793126,-0.41532964
