,a,b
afrimgsm_amh_34,0.79315966,-0.3160993
afrimgsm_amh_35,0.7054685,-0.8489991
afrimgsm_amh_36,0.681165,1.1876816
afrimgsm_amh_37,0.72505677,0.21326363
afrimgsm_amh_38,0.79315966,-0.3160993
afrimgsm_amh_39,0.681165,1.1876816
afrimgsm_amh_4,0.79315966,-0.3160993
afrimgsm_amh_40,0.79315966,-0.3160993
afrimgsm_amh_41,0.79315966,-0.3160993
afrimgsm_amh_42,0.79315966,-0.3160993
afrimgsm_amh_43,0.79315966,-0.3160993
afrimgsm_amh_44,0.5489363,0.14049777
afrimgsm_amh_45,0.79315966,-0.3160993
afrimgsm_amh_46,0.79315966,-0.3160993
afrimgsm_amh_47,0.79315966,-0.3160993
afrimgsm_amh_48,0.79315966,-0.3160993
afrimgsm_amh_49,0.681165,1.1876816
afrimgsm_amh_5,0.79315966,-0.3160993
afrimgsm_amh_50,0.79315966,-0.3160993
afrimgsm_amh_51,0.79315966,-0.3160993
afrimgsm_amh_52,0.7054685,-0.8489991
afrimgsm_amh_53,0.681165,1.1876816
afrimgsm_amh_54,0.681165,1.1876816
afrimgsm_amh_55,0.79315966,-0.3160993
afrimgsm_amh_56,0.79315966,-0.3160993
afrimgsm_amh_57,0.681165,1.1876816
afrimgsm_amh_58,0.6794138,0.69208974
afrimgsm_amh_59,0.69851464,0.20161274
afrimgsm_amh_6,0.79315966,-0.3160993
afrimgsm_amh_60,0.79315966,-0.3160993
afrimgsm_amh_61,0.79315966,-0.3160993
afrimgsm_amh_62,0.72505677,0.21326363
afrimgsm_amh_63,0.79315966,-0.3160993
afrimgsm_amh_64,0.681165,1.1876816
afrimgsm_amh_65,0.79315966,-0.3160993
afrimgsm_amh_66,0.79315966,-0.3160993
afrimgsm_amh_67,0.79315966,-0.3160993
afrimgsm_amh_68,0.79315966,-0.3160993
afrimgsm_amh_69,0.79315966,-0.3160993
afrimgsm_amh_7,0.681165,1.1876816
afrimgsm_amh_70,0.79315966,-0.3160993
afrimgsm_amh_71,0.79315966,-0.3160993
afrimgsm_amh_72,0.79315966,-0.3160993
afrimgsm_amh_73,0.72505677,0.21326363
afrimgsm_amh_74,0.69548357,0.2002947
afrimgsm_amh_75,0.69548357,0.2002947
afrimgsm_amh_76,0.7054685,-0.8489991
afrimgsm_amh_77,0.681165,1.1876816
afrimgsm_amh_78,0.79315966,-0.3160993
afrimgsm_amh_79,0.79315966,-0.3160993
afrimgsm_amh_8,0.72505677,0.21326363
afrimgsm_amh_80,0.79315966,-0.3160993
afrimgsm_amh_81,0.79315966,-0.3160993
afrimgsm_amh_82,0.72505677,0.21326363
afrimgsm_amh_83,0.79315966,-0.3160993
afrimgsm_amh_84,0.79315966,-0.3160993
afrimgsm_amh_85,0.79315966,-0.3160993
afrimgsm_amh_86,0.79315966,-0.3160993
afrimgsm_amh_87,0.681165,1.1876816
afrimgsm_amh_88,0.7054685,-0.8489991
afrimgsm_amh_89,0.68251354,0.694715
afrimgsm_amh_9,0.79315966,-0.3160993
afrimgsm_amh_90,0.79315966,-0.3160993
afrimgsm_amh_91,0.79315966,-0.3160993
afrimgsm_amh_92,0.79315966,-0.3160993
afrimgsm_amh_93,0.69548357,0.2002947
afrimgsm_amh_94,0.79315966,-0.3160993
afrimgsm_amh_95,0.79315966,-0.3160993
afrimgsm_amh_96,0.79315966,-0.3160993
afrimgsm_amh_97,0.79315966,-0.3160993
afrimgsm_amh_98,0.6794138,0.69208974
afrimgsm_amh_99,0.6794138,0.69208974
afrimgsm_eng_0,0.7054685,-0.8489991
afrimgsm_eng_1,0.7054685,-0.8489991
afrimgsm_eng_10,0.7054685,-0.8489991
afrimgsm_eng_100,0.69851464,0.20161274
afrimgsm_eng_101,0.7054685,-0.8489991
afrimgsm_eng_102,0.79315966,-0.3160993
afrimgsm_eng_103,0.79315966,-0.3160993
afrimgsm_eng_104,0.69851464,0.20161274
afrimgsm_eng_105,0.69851464,0.20161274
afrimgsm_eng_106,0.7054685,-0.8489991
afrimgsm_eng_107,0.79315966,-0.3160993
afrimgsm_eng_108,0.7054685,-0.8489991
afrimgsm_eng_109,0.681165,1.1876816
afrimgsm_eng_11,0.7054685,-0.8489991
afrimgsm_eng_110,0.7054685,-0.8489991
