,a,b
afrixnli_amh_400,0.7467643,1.4440738
afrixnli_amh_401,0.7602274,-0.39185357
afrixnli_amh_402,0.80420583,-0.8923034
afrixnli_amh_403,0.70651853,-0.39941782
afrixnli_amh_404,0.7602274,-0.39185357
afrixnli_amh_405,0.80420583,-0.8923034
afrixnli_amh_406,0.7479983,0.5339449
afrixnli_amh_407,0.80420583,-0.8923034
afrixnli_amh_408,0.7602274,-0.39185357
afrixnli_amh_409,0.69565564,-0.40068328
afrixnli_amh_41,0.80420583,-0.8923034
afrixnli_amh_410,0.80420583,-0.8923034
afrixnli_amh_411,0.69565564,-0.40068328
afrixnli_amh_412,0.7608128,0.996307
afrixnli_amh_413,0.7059342,0.06079441
afrixnli_amh_414,0.80420583,-0.8923034
afrixnli_amh_415,0.69565564,-0.40068328
afrixnli_amh_416,0.69540447,0.056891445
afrixnli_amh_417,0.62822515,0.46321607
afrixnli_amh_418,0.7635237,0.08207443
afrixnli_amh_419,0.69565564,-0.40068328
afrixnli_amh_42,0.70651853,-0.39941782
afrixnli_amh_420,0.7059342,0.06079441
afrixnli_amh_421,0.63420725,0.89673305
afrixnli_amh_422,0.80420583,-0.8923034
afrixnli_amh_423,0.7611757,-0.39170244
afrixnli_amh_424,0.80420583,-0.8923034
afrixnli_amh_425,0.7059342,0.06079441
afrixnli_amh_426,0.7602274,-0.39185357
afrixnli_amh_427,0.80420583,-0.8923034
afrixnli_amh_428,0.7611757,-0.39170244
afrixnli_amh_429,0.7059342,0.06079441
afrixnli_amh_43,0.57967764,0.43094468
afrixnli_amh_430,0.70679575,0.06111377
afrixnli_amh_431,0.63420725,0.89673305
afrixnli_amh_432,0.7059342,0.06079441
afrixnli_amh_433,0.7479983,0.5339449
afrixnli_amh_434,0.80420583,-0.8923034
afrixnli_amh_435,0.7602274,-0.39185357
afrixnli_amh_436,0.80420583,-0.8923034
afrixnli_amh_437,0.80420583,-0.8923034
afrixnli_amh_438,0.7602274,-0.39185357
afrixnli_amh_439,0.59398746,0.019788202
afrixnli_amh_44,0.7467643,1.4440738
afrixnli_amh_440,0.69565564,-0.40068328
afrixnli_amh_441,0.80420583,-0.8923034
afrixnli_amh_442,0.59398746,0.019788202
afrixnli_amh_443,0.73473793,0.5267357
afrixnli_amh_444,0.6800837,0.49539727
afrixnli_amh_445,0.59398746,0.019788202
afrixnli_amh_446,0.7602274,-0.39185357
afrixnli_amh_447,0.63420725,0.89673305
afrixnli_amh_448,0.7479983,0.5339449
afrixnli_amh_449,0.7467643,1.4440738
afrixnli_amh_45,0.80420583,-0.8923034
afrixnli_amh_450,0.80420583,-0.8923034
afrixnli_amh_451,0.7479983,0.5339449
afrixnli_amh_452,0.80420583,-0.8923034
afrixnli_amh_453,0.7479983,0.5339449
afrixnli_amh_454,0.80420583,-0.8923034
afrixnli_amh_455,0.59398746,0.019788202
afrixnli_amh_456,0.80420583,-0.8923034
afrixnli_amh_457,0.80420583,-0.8923034
afrixnli_amh_458,0.7635237,0.08207443
afrixnli_amh_459,0.7467643,1.4440738
afrixnli_amh_46,0.69457096,0.056582592
afrixnli_amh_460,0.7635237,0.08207443
afrixnli_amh_461,0.7467643,1.4440738
afrixnli_amh_462,0.80420583,-0.8923034
afrixnli_amh_463,0.69565564,-0.40068328
afrixnli_amh_464,0.6743284,0.49194366
afrixnli_amh_465,0.80420583,-0.8923034
afrixnli_amh_466,0.80420583,-0.8923034
afrixnli_amh_467,0.7635237,0.08207443
afrixnli_amh_468,0.7059342,0.06079441
afrixnli_amh_469,0.61893564,0.45720002
afrixnli_amh_47,0.7611757,-0.39170244
afrixnli_amh_470,0.69540447,0.056891445
afrixnli_amh_471,0.7602274,-0.39185357
afrixnli_amh_472,0.7479983,0.5339449
afrixnli_amh_473,0.80420583,-0.8923034
afrixnli_amh_474,0.80420583,-0.8923034
afrixnli_amh_475,0.7635237,0.08207443
afrixnli_amh_476,0.7611757,-0.39170244
afrixnli_amh_477,0.7611757,-0.39170244
afrixnli_amh_478,0.7602274,-0.39185357
afrixnli_amh_479,0.7611757,-0.39170244
afrixnli_amh_48,0.68292916,0.9383759
afrixnli_amh_480,0.7635237,0.08207443
afrixnli_amh_481,0.7611757,-0.39170244
afrixnli_amh_482,0.80420583,-0.8923034
afrixnli_amh_483,0.7602274,-0.39185357
afrixnli_amh_484,0.69565564,-0.40068328
afrixnli_amh_485,0.7479983,0.5339449
afrixnli_amh_486,0.7602274,-0.39185357
afrixnli_amh_487,0.70651853,-0.39941782
afrixnli_amh_488,0.7611757,-0.39170244
afrixnli_amh_489,0.7608128,0.996307
afrixnli_amh_49,0.73473793,0.5267357
afrixnli_amh_490,0.7608128,0.996307
afrixnli_amh_491,0.7608128,0.996307
afrixnli_amh_492,0.7479983,0.5339449
afrixnli_amh_493,0.61893564,0.45720002
afrixnli_amh_494,0.7467643,1.4440738
afrixnli_amh_495,0.7608128,0.996307
afrixnli_amh_496,0.80420583,-0.8923034
afrixnli_amh_497,0.68292916,0.9383759
afrixnli_amh_498,0.80420583,-0.8923034
afrixnli_amh_499,0.63420725,0.89673305
afrixnli_amh_5,0.7059342,0.06079441
afrixnli_amh_50,0.7611757,-0.39170244
afrixnli_amh_500,0.63346595,0.89606524
